ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
8464	TommoSoTongoTongo-89_muslimpraysayorperformonesprayer-1	TommoSoTongoTongo		(Muslim) pray, say or perform one's prayer	sɛ́nú sɛ́nɛ́	sɛ́nú_sɛ́nɛ́	s ɛ́ n ú - s ɛ́ n ɛ́			0	42	s ɛ́ n ú - - - s ɛ́ n ɛ́
8465	ToroTegu-89_muslimpraysayorperformonesprayer-1	ToroTegu		(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	kárⁿá	k á r.∼ á			0	43	k á r.∼ á
8466	YandaDom-89_muslimpraysayorperformonesprayer-1	YandaDom		(Muslim) pray, say or perform one's prayer	sán sán	sán_sán	s á n - s á n			0	42	s á n - - - - s á n -
8467	YornoSo-89_muslimpraysayorperformonesprayer-1	YornoSo		(Muslim) pray, say or perform one's prayer	sɛ̂n sɛ́rⁿɛ́	sɛ̂n_sɛ́rⁿɛ́	s ɛ̂ n - s ɛ́ r.∼ ɛ́			0	42	s ɛ̂ n - - - - s ɛ́ r.∼ ɛ́
9229	BankanTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BankanTey		(blood from a serious wound) flow, gush out, pour out	yɔ̀wɔ́	yɔ̀wɔ́	j ɔ̀ w ɔ́			1	63	j ɔ̀ w ɔ́
9230	BenTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BenTey		(blood from a serious wound) flow, gush out, pour out	tó: tí	tó:_tí	t ó.ó - t í			1	64	t ó.ó - t í
9231	JamsayDouentza-208_bloodfromaseriouswoundflowgushoutpourout-1	JamsayDouentza		(blood from a serious wound) flow, gush out, pour out	yùwɔ́	yùwɔ́	j ù w ɔ́			1	63	j ù w ɔ́
9232	Mombo-208_bloodfromaseriouswoundflowgushoutpourout-1	Mombo		(blood from a serious wound) flow, gush out, pour out	gwé:	gwé:	ɡ w é.é			1	65	ɡ w é.é
9233	Najamba-208_bloodfromaseriouswoundflowgushoutpourout-1	Najamba		(blood from a serious wound) flow, gush out, pour out	síyɛ́	sí-yɛ́	s í - j ɛ́			1	66	s í - j ɛ́
9234	Nanga-208_bloodfromaseriouswoundflowgushoutpourout-1	Nanga		(blood from a serious wound) flow, gush out, pour out	tíyɛ́	tíyɛ́	t í j ɛ́			1	67	t í j ɛ́
9235	TommoSoTongoTongo-208_bloodfromaseriouswoundflowgushoutpourout-1	TommoSoTongoTongo		(blood from a serious wound) flow, gush out, pour out	gòó	gòó	ɡ ò.ó			1	68	ɡ ò.ó
9236	ToroTegu-208_bloodfromaseriouswoundflowgushoutpourout-1	ToroTegu		(blood from a serious wound) flow, gush out, pour out	zɔ̌w\\zɔ̌:	zɔ̌:	z ɔ̀.ɔ́			1	69	z ɔ̀.ɔ́
