ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
4317	TommoSoTongoTongo-130_actoffasting-2	TommoSoTongoTongo		(act of) fasting	àŋà pàgú, kɔ́rkà	kɔ́-rkà	k ɔ́ - r k à			0	51	k ɔ́ - r k à
4319	ToroTegu-130_actoffasting-1	ToroTegu		(act of) fasting	kàpágú	kàp-á-ɡú	k à p - á - ɡ ú			0	50	k à p - á - ɡ ú
4320	YandaDom-130_actoffasting-1	YandaDom		(act of) fasting	m̀bòpàgù	mbò-pàɡù	mb ò - p à ɡ ù			0	47	- - mb ò - p à ɡ ù
4321	YornoSo-130_actoffasting-1	YornoSo		(act of) fasting	àŋàpàgú	àŋà-pàɡú	à ŋ à - p à ɡ ú			0	47	- à ŋ à - p à ɡ ú
4022	BankanTey-163_anyalcoholicbeverage-1	BankanTey		(any) alcoholic beverage	kɔ̀zɔ́	kɔ̀zɔ́	k ɔ̀ z ɔ́			0	60	k ɔ̀ - z ɔ́
4023	BenTey-163_anyalcoholicbeverage-1	BenTey		(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀n-jɔ́	k ɔ̀ n - dʒ ɔ́			0	61	k ɔ̀ n - dʒ ɔ́ - - - -
4025	JamsayDouentza-163_anyalcoholicbeverage-1	JamsayDouentza		(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀ ɲ ɔ́			0	62	k ɔ̀ ɲ ɔ́
4026	Mombo-163_anyalcoholicbeverage-1	Mombo		(any) alcoholic beverage	kɔ́ndyɔ̀	kɔ́-nd-yɔ̀	k ɔ́ - nd - j ɔ̀			0	63	k ɔ́ - nd - j ɔ̀
4027	Najamba-163_anyalcoholicbeverage-1	Najamba		(any) alcoholic beverage	kɔ̀njɛ́ŋgé\\kɔ̀njɛ́	kɔ̀n-jɛ́-ŋɡé	k ɔ̀ n - dʒ ɛ́ - ŋ ɡ é	k ɔ̀ ndʒ ɛ́		0	61	k ɔ̀ n - dʒ ɛ́ - ŋ ɡ é
4028	Nanga-163_anyalcoholicbeverage-1	Nanga		(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀n-jɔ́	k ɔ̀ n - dʒ ɔ́			0	61	k ɔ̀ n - dʒ ɔ́ - - - -
4029	PergeTegu-163_anyalcoholicbeverage-1	PergeTegu		(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀n-jɔ́	k ɔ̀ n - dʒ ɔ́			0	61	k ɔ̀ n - dʒ ɔ́ - - - -
4030	TogoKan-163_anyalcoholicbeverage-1	TogoKan		(any) alcoholic beverage	kɛ̀ɲɛ́	kɛ̀ɲɛ́	k ɛ̀ ɲ ɛ́			0	62	k ɛ̀ ɲ ɛ́
