ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	POS	CONCEPTICON_GLOSS
1265	TommoSoTongoTongo	collarbone (clavicle)	kàŋgàm kìyé	kàŋgàm_kìyé	k à/a ŋ ɡ à/a m + k ì/i j é/e		noun	COLLARBONE
1266	ToroTegu	collarbone (clavicle)	wòwòrěy	wòwòrěy	w ò/o w ò/o r ě/e j		noun	COLLARBONE
1267	YandaDom	collarbone (clavicle)	ànzùkwà: círⁿá	ànzùkwà:_círⁿá	à/a n z ù/u k w à:/aː + tʃ í/i r̃ á/a		noun	COLLARBONE
14107	BankanTey	color (as in what color?)	sî:	sî:	s î:/iː		noun	COLOR
14108	BenTey	color (as in what color?)	sî:, tɔ̌w	sî:	s î:/iː		noun	COLOR
14109	Bunoge	color (as in what color?)	sì (sì:)	sì_	s ì/i		noun	COLOR
14110	DogulDomBendiely	color (as in what color?)	kùlɛ́ɛ̀r	kùlɛ́ɛ̀r	k ù/u l ɛ́ɛ̀/ɛː r		noun	COLOR
14111	DonnoSo	color (as in what color?)	tɔ̀gú	tɔ̀gú	t ɔ̀/ɔ ɡ ú/u		noun	COLOR
14112	JamsayDouentza	color (as in what color?)	sî:, tɔ̀gú	sî:	s î:/iː		noun	COLOR
14113	Mombo	color (as in what color?)	péndírì	péndírì	p é/e ⁿd í/i r ì/i		noun	COLOR
14114	Najamba	color (as in what color?)	sî:	sî:	s î:/iː		noun	COLOR
14115	Nanga	color (as in what color?)	sî:	sî:	s î:/iː		noun	COLOR
14116	Penange	color (as in what color?)	sí:	sí:	s í:/iː		noun	COLOR
14117	PergeTegu	color (as in what color?)	bɔ́rⁿíyⁿɔ̀m	bɔ́rⁿíyⁿɔ̀m	b ɔ́/ɔ r̃ í/i yⁿ/ỹ ɔ̀/ɔ m		noun	COLOR
14118	TogoKan	color (as in what color?)	kúlɛ́:rú	kúlɛ́:rú	k ú/u l ɛ́:/ɛː r ú/u		noun	COLOR
14119	TommoSoTongoTongo	color (as in what color?)	kúlɛ́ɛ̀r	kúlɛ́ɛ̀r	k ú/u l ɛ́ɛ̀/ɛː r		noun	COLOR
14120	ToroTegu	color (as in what color?)	sî:	sî:	s î:/iː		noun	COLOR
14121	YandaDom	color (as in what color?)	tɔ̀gù	tɔ̀gù	t ɔ̀/ɔ ɡ ù/u		noun	COLOR
14122	YornoSo	color (as in what color?)	sî:	sî:	s î:/iː		noun	COLOR
13148	Ampari	come	égò (égé, ègè:rí)	égò_	é/e ɡ ò/o		verb	COME
13149	BankanTey	come	wɔ́\\wá	wɔ́	w ɔ́/ɔ		verb	COME
13150	BenTey	come	yɛ̌	yɛ̌	j ɛ̌/ɛ		verb	COME
13151	Bunoge	come	ʔégè	ʔégè	ʔ é/e ɡ è/e		verb	COME
13152	DogulDomBendiely	come	mɛ̀nɛ́	mɛ̀nɛ́	m ɛ̀/ɛ n ɛ́/ɛ		verb	COME
13153	DonnoSo	come	yɛ̀lɛ́\\yɛ́lɛ̀	yɛ̀lɛ́	j ɛ̀/ɛ l ɛ́/ɛ		verb	COME
13154	Gourou	come	yɛ̀rɛ́	yɛ̀rɛ́	j ɛ̀/ɛ r ɛ́/ɛ		verb	COME
13155	JamsayDouentza	come	yɛ̀rɛ́	yɛ̀rɛ́	j ɛ̀/ɛ r ɛ́/ɛ		verb	COME
13156	JamsayMondoro	come	yɛ̀rɛ́	yɛ̀rɛ́	j ɛ̀/ɛ r ɛ́/ɛ		verb	COME
13157	Mombo	come	égé	égé	é/e ɡ é/e		verb	COME
13158	Najamba	come	wé\wè	wé	w é/e		verb	COME
13159	Nanga	come	yě:	yě:	j ě:/eː		verb	COME
13160	Penange	come	égé (y)	égé_	é/e ɡ é/e		verb	COME
13161	PergeTegu	come	wǎ:	wǎ:	w ǎ:/aː		verb	COME
13162	TebulUre	come	wɔ̌: (wɔ̌yà, perf neg wà:lí, imprt wá:)	wɔ̌:_	w ɔ̌:/ɔː		verb	COME
13163	Tiranige	come	yógó	yógó	j ó/o ɡ ó/o		verb	COME
13164	TogoKan	come	yɛ̀rɛ́	yɛ̀rɛ́	j ɛ̀/ɛ r ɛ́/ɛ		verb	COME
13165	TommoSoTongoTongo	come	yɛ̀lɛ́	yɛ̀lɛ́	j ɛ̀/ɛ l ɛ́/ɛ		verb	COME
13166	TomoKanDiangassagou	come	yɛ̀lɛ̀	yɛ̀lɛ̀	j ɛ̀/ɛ l ɛ̀/ɛ		verb	COME
13167	ToroTegu	come	yèrú\\yèrí	yèrú	j è/e r ú/u		verb	COME
13168	YandaDom	come	wó\\wòlí	wó	w ó/o		verb	COME
13169	YornoSo	come	wɛ̀lɛ́\\wɛ̀lɛ́	wɛ̀lɛ́	w ɛ̀/ɛ l ɛ́/ɛ		verb	COME
6683	BankanTey	come near, approach (here)	wɔ́ dɔ́	wɔ́_dɔ́	w ɔ́/ɔ + d ɔ́/ɔ		verb	APPROACH
6684	BenTey	come near, approach (here)	yɛ̌ dɔ̌	yɛdɔ̌	j ɛ d ɔ̌/ɔ		verb	APPROACH
6685	DonnoSo	come near, approach (here)	yɛ̀lɛ́ dɔ̌:	yɛ̀lɛ́_dɔ̌:	j ɛ̀/ɛ l ɛ́/ɛ + d ɔ̌:/ɔː		verb	APPROACH
6686	Gourou	come near, approach (here)	yɛ̀rɛ́ dɔ́:	yɛ̀rɛ́_dɔ́:	j ɛ̀/ɛ r ɛ́/ɛ + d ɔ́ː/ɔː		verb	APPROACH
6687	JamsayDouentza	come near, approach (here)	yɛ̀rɛ́ dɔ̌:	yɛ̀rɛ́_dɔ̌:	j ɛ̀/ɛ r ɛ́/ɛ + d ɔ̌:/ɔː		verb	APPROACH
6688	Mombo	come near, approach (here)	dínyɛ̂:	dínyɛ̂:	d í/i n j ɛ̂:/ɛː		verb	APPROACH
6689	Najamba	come near, approach (here)	[wé ǹ] dwɛ̂:\\dwɛ̀:	_dwɛ̂:	d w ɛ̂:/ɛː		verb	APPROACH
6690	Nanga	come near, approach (here)	yě: dɔ̌:	yě:_dɔ̌:	j ě:/eː + d ɔ̌:/ɔː		verb	APPROACH
6691	PergeTegu	come near, approach (here)	yɛ̀rɛ́ dɔ̌:	yɛ̀rɛ́_dɔ̌:	j ɛ̀/ɛ r ɛ́/ɛ + d ɔ̌:/ɔː		verb	APPROACH
6692	Tiranige	come near, approach (here)	dɛ̀mɛ̀ áyó	dɛ̀mɛ̀_áyó	d ɛ̀/ɛ m ɛ̀/ɛ + á/a j ó/o		verb	APPROACH
6693	TogoKan	come near, approach (here)	tɔ́rɔ́ dɔ̌:, dɔ̀rɔ́ dɔ̌:, sújɔ́ dɔ̌:	tɔ́rɔ́_dɔ̌:	t ɔ́/ɔ r ɔ́/ɔ + d ɔ̌:/ɔː		verb	APPROACH
6694	TommoSoTongoTongo	come near, approach (here)	bɛ̀rɛ́ndíyɛ́, dɔ̀rɔ́ dɔ̀ɔ́, jíŋɛ́	bɛ̀rɛ́ndíyɛ́	b ɛ̀/ɛ r ɛ́/ɛ ⁿd í/i j ɛ́/ɛ		verb	APPROACH
6695	ToroTegu	come near, approach (here)	yèrí bɛ́lú\\bɛ́lá	yèrí_bɛ́lú	j è/e r í/i + b ɛ́/ɛ l ú/u		verb	APPROACH
6696	YandaDom	come near, approach (here)	wó dɔ́	wó_dɔ́	w ó/o + d ɔ́/ɔ		verb	APPROACH
6697	YornoSo	come near, approach (here)	ń dɔ̌:, kó dɔ̌:	ń_dɔ̌:	ń/n + d ɔ̌:/ɔː		verb	APPROACH
8423	BenTey	command, be the chief	lá:mɛ́	lá:mɛ́	l á:/aː m ɛ́/ɛ		verb	COMMAND
8424	Bunoge	command, be the chief	là:mú kánì	là:mú_kánì	l à:/aː m ú/u + k á/a n ì/i		verb	COMMAND
8425	DogulDomKundialang	command, be the chief	mâr kánè	mâr_kánè	m â/a r + k á/a n è/e		verb	COMMAND
8426	DonnoSo	command, be the chief	lá:mù kán(à)	lá:mù_kán	l á:/aː m ù/u + k á/a n		verb	COMMAND
8427	Mombo	command, be the chief	màrà kání	màrà_kání	m à/a r à/a + k á/a n í/i		verb	COMMAND
8428	Najamba	command, be the chief	lá:mɛ́, mǎ:m\\mà:mè	lá:mɛ́	l á:/aː m ɛ́/ɛ		verb	COMMAND
8429	Nanga	command, be the chief	lá:mɛ́	lá:mɛ́	l á:/aː m ɛ́/ɛ		verb	COMMAND
8430	Penange	command, be the chief	lâ:m kán	lâ:m_kán	l â:/aː m + k á/a n		verb	COMMAND
8431	PergeTegu	command, be the chief	lá:mɛ́	lá:mɛ́	l á:/aː m ɛ́/ɛ		verb	COMMAND
8432	TebulUre	command, be the chief	lá:m (lá:mtì, neg là:màlí)	lá:m_	l á:/aː m		verb	COMMAND
8433	TogoKan	command, be the chief	lá:mì	lá:mì	l á:/aː m ì/i		verb	COMMAND
8434	TommoSoTongoTongo	command, be the chief	láámá	láámá	l áá/aː m á/a		verb	COMMAND
8435	ToroTegu	command, be the chief	ɔ́gú\\ɔ́gɔ́	ɔ́gú	ɔ́/ɔ ɡ ú/u		verb	COMMAND
8436	YandaDom	command, be the chief	lá:mɛ́	lá:mɛ́	l á:/aː m ɛ́/ɛ		verb	COMMAND
11042	BenTey	contribute (money), pay (dues)	sɛ́yí\\sɛ́yà	sɛ́yí	s ɛ́/ɛ j í/i		verb	PAY
11043	Bunoge	contribute (money), pay (dues)	sɛ́gɛ̀	sɛ́gɛ̀	s ɛ́/ɛ ɡ ɛ̀/ɛ		verb	PAY
11044	DonnoSo	contribute (money), pay (dues)	sárà\\sárì	sárà	s á/a r à/a		verb	PAY
11045	Gourou	contribute (money), pay (dues)	sɛ̀gú xxx	sɛ̀gú_xxx	s ɛ̀/ɛ ɡ ú/u + x x x		verb	PAY
11046	JamsayDouentza	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11047	JamsayMondoro	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11048	Mombo	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11049	Najamba	contribute (money), pay (dues)	mɔ̀mbɛ́	mɔ̀mbɛ́	m ɔ̀/ɔ ⁿb ɛ́/ɛ		verb	PAY
11050	Nanga	contribute (money), pay (dues)	sɛ́gí	sɛ́gí	s ɛ́/ɛ ɡ í/i		verb	PAY
11051	Penange	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11052	PergeTegu	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11053	TebulUre	contribute (money), pay (dues)	mɔ̀:ndí	mɔ̀:ndí	m ɔ̀:/ɔː ⁿd í/i		verb	PAY
11054	TogoKan	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11055	TommoSoTongoTongo	contribute (money), pay (dues)	sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11056	ToroTegu	contribute (money), pay (dues)	sɛ́gú\\sɛ́gá	sɛ́gú	s ɛ́/ɛ ɡ ú/u		verb	PAY
11057	YandaDom	contribute (money), pay (dues)	sɛ́gɛ́\\ségálì	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
11058	YornoSo	contribute (money), pay (dues)	sɛ́gɛ́\\sɛ́gɛ́	sɛ́gɛ́	s ɛ́/ɛ ɡ ɛ́/ɛ		verb	PAY
4462	BankanTey	cook (a meal)	bìrɛ́	bìrɛ́	b ì/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4463	BenTey	cook (a meal)	bìrɛ́	bìrɛ́	b ì/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4464	Bunoge	cook (a meal)	bálè	bálè	b á/a l è/e		verb	COOK (SOMETHING)
4465	DogulDomKundialang	cook (a meal)	sírɛ̀	sírɛ̀	s í/i r ɛ̀/ɛ		verb	COOK (SOMETHING)
4466	DonnoSo	cook (a meal)	ɲǎ: sí:rɛ̀\\sí:rì	ɲǎ:_sí:rɛ̀	ɲ/ɲ ǎ:/aː + s í:/iː r ɛ̀/ɛ		verb	COOK (SOMETHING)
4467	Gourou	cook (a meal)	bìrɛ́	bìrɛ́	b ì/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4468	JamsayDouentza	cook (a meal)	sírɛ́	sírɛ́	s í/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4469	Mombo	cook (a meal)	wúlámì	wúlámì	w ú/u l á/a m ì/i		verb	COOK (SOMETHING)
4470	Najamba	cook (a meal)	mǎn\\mànè	mǎn	m ǎ/a n		verb	COOK (SOMETHING)
4471	Nanga	cook (a meal)	dàŋí	dàŋí	d à/a ŋ í/i		verb	COOK (SOMETHING)
4472	Penange	cook (a meal)	dɔ́ŋgɛ́	dɔ́ŋgɛ́	d ɔ́/ɔ ŋ ɡ ɛ́/ɛ		verb	COOK (SOMETHING)
4473	PergeTegu	cook (a meal)	sírɛ́	sírɛ́	s í/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4474	TebulUre	cook (a meal)	sírí (sírítì)	sírí_	s í/i r í/i		verb	COOK (SOMETHING)
4475	TogoKan	cook (a meal)	sí:rì\\sí:rɛ́	sí:rì	s í:/iː r ì/i		verb	COOK (SOMETHING)
4476	TommoSoTongoTongo	cook (a meal)	sírɛ́	sírɛ́	s í/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4477	TomoKanSegue	cook (a meal)	sí:rí	sí:rí	s í:/iː r í/i		verb	COOK (SOMETHING)
4478	ToroTegu	cook (a meal)	bìrú\\bìrá	bìrú	b ì/i r ú/u		verb	COOK (SOMETHING)
4479	YandaDom	cook (a meal)	mànú\\mànàlí	mànú	m à/a n ú/u		verb	COOK (SOMETHING)
4480	YornoSo	cook (a meal)	sírɛ́	sírɛ́	s í/i r ɛ́/ɛ		verb	COOK (SOMETHING)
4363	BankanTey	cooked, done (meat)	ìrɛ̌y	ìrɛ̌y	ì/i r ɛ̌/ɛ j		adjective	COOKED
4364	BenTey	cooked, done (meat)	ìrɛ̌y	ìrɛ̌y	ì/i r ɛ̌/ɛ j		adjective	COOKED
4365	Bunoge	cooked, done (meat)	bìlɛ̀	bìlɛ̀	b ì/i l ɛ̀/ɛ		adjective	COOKED
4366	JamsayDouentza	cooked, done (meat)	ìrɛ́	ìrɛ́	ì/i r ɛ́/ɛ		adjective	COOKED
4367	Mombo	cooked, done (meat)	wúlɛ́	wúlɛ́	w ú/u l ɛ́/ɛ		adjective	COOKED
4368	Najamba	cooked, done (meat)	dá:nà	dá:nà	d á:/aː n à/a		adjective	COOKED
4369	Nanga	cooked, done (meat)	ìrɛ́	ìrɛ́	ì/i r ɛ́/ɛ		adjective	COOKED
4370	Penange	cooked, done (meat)	bɔ̀rɛ̀	bɔ̀rɛ̀	b ɔ̀/ɔ r ɛ̀/ɛ		adjective	COOKED
4371	PergeTegu	cooked, done (meat)	ìrɛ́	ìrɛ́	ì/i r ɛ́/ɛ		adjective	COOKED
4372	Tiranige	cooked, done (meat)	ílání	ílání	í/i l á/a n í/i		adjective	COOKED
4373	TogoKan	cooked, done (meat)	ìrɛ́	ìrɛ́	ì/i r ɛ́/ɛ		adjective	COOKED
4374	TommoSoTongoTongo	cooked, done (meat)	jààndú	jààndú	dʒ àà/aː ⁿd ú/u		adjective	COOKED
4375	TomoKanSegue	cooked, done (meat)	ʔìlɛ́	ʔìlɛ́	ʔ ì/i l ɛ́/ɛ		adjective	COOKED
4376	ToroTegu	cooked, done (meat)	írú dà ŋ́	írú_dà_ŋ́	í/i r ú/u + d à/a + ŋ́/ŋ		adjective	COOKED
4377	YornoSo	cooked, done (meat)	ìlɛ́	ìlɛ́	ì/i l ɛ́/ɛ		adjective	COOKED
5562	BenTey	copper alloys (yellowish)	mɛ́:ní:	mɛ́:ní:	m ɛ́:/ɛː n í:/iː		noun	BRONZE OR COPPER
5563	PergeTegu	copper alloys (yellowish)	làríyà	làríyà	l à/a r í/i j à/a		noun	BRONZE OR COPPER
5564	TommoSoTongoTongo	copper alloys (yellowish)	mènnù bánú	mènnù_bánú	m è/e n n ù/u + b á/a n ú/u		noun	BRONZE OR COPPER
5565	YornoSo	copper alloys (yellowish)	mɛ̀n bán, mɛ́n	mɛ̀n_bán	m ɛ̀/ɛ n + b á/a n		noun	BRONZE OR COPPER
4789	BankanTey	corn, maize	bàràɛ̀mbɛ̌y	bàràɛ̀mbɛ̌y	b à/a r à/a ɛ̀/ɛ ⁿb ɛ̌/ɛ j		noun	MAIZE
4790	BenTey	corn, maize	bàrměyⁿ	bàrměyⁿ	b à/a r m ě/e yⁿ/ỹ		noun	MAIZE
4791	Bunoge	corn, maize	dílímà	dílímà	d í/i l í/i m à/a		noun	MAIZE
4792	DogulDomBendiely	corn, maize	sàmìyógó	sàmìyógó	s à/a m ì/i j ó/o ɡ ó/o		noun	MAIZE
4793	DogulDomKundialang	corn, maize	sàmìyógò	sàmìyógò	s à/a m ì/i j ó/o ɡ ò/o		noun	MAIZE
4794	DonnoSo	corn, maize	sàmɛ̀mmɛ́	sàmɛ̀mmɛ́	s à/a m ɛ̀/ɛ m m ɛ́/ɛ		noun	MAIZE
4795	Gourou	corn, maize	pòròyú:ⁿ	pòròyú:ⁿ	p ò/o r ò/o j ṹː/ũː		noun	MAIZE
4796	JamsayDouentza	corn, maize	pòrò:ɲú:	pòrò:ɲú:	p ò/o r òː/oː ɲ/ɲ úː/uː		noun	MAIZE
4797	Mombo	corn, maize	ɛ̀mbɛ̀dúlúmá	ɛ̀mbɛ̀dúlúmá	ɛ̀/ɛ ⁿb ɛ̀/ɛ d ú/u l ú/u m á/a		noun	MAIZE
4798	Najamba	corn, maize	màdèmbáŋgó\\màdèmbá	màdèmbáŋgó	m à/a d è/e ⁿb á/a ŋ ɡ ó/o		noun	MAIZE
4799	Nanga	corn, maize	jàrⁿàmbɛ́	jàrⁿàmbɛ́	dʒ à/a r̃ à/a ⁿb ɛ́/ɛ		noun	MAIZE
4800	Penange	corn, maize	dàlmàyògó	dàlmàyògó	d à/a l m à/a j ò/o ɡ ó/o		noun	MAIZE
4801	PergeTegu	corn, maize	bàràɛ̀:mbɛ́	bàràɛ̀:mbɛ́	b à/a r à/a ɛ̀:/ɛː ⁿb ɛ́/ɛ		noun	MAIZE
4802	TebulUre	corn, maize	sàrⁿàɛ̀mbɛ́	sàrⁿàɛ̀mbɛ́	s à/a r̃ à/a ɛ̀/ɛ ⁿb ɛ́/ɛ		noun	MAIZE
4803	Tiranige	corn, maize	dùmàyò:gé	dùmàyò:gé	d ù/u m à/a j òː/oː ɡ é/e		noun	MAIZE
4804	TogoKan	corn, maize	màɲɛ̀rⁿɛ̀má	màɲɛ̀rⁿɛ̀má	m à/a ɲ/ɲ ɛ̀/ɛ r̃ ɛ̀/ɛ m á/a		noun	MAIZE
4805	TommoSoTongoTongo	corn, maize	sànà ɛ̀mmɛ́	sànà_ɛ̀mmɛ́	s à/a n à/a + ɛ̀/ɛ m m ɛ́/ɛ		noun	MAIZE
4806	TomoKanSegue	corn, maize	mànjàràɲùmà	mànjàràɲùmà	m à/a ⁿdʒ à/a r à/a ɲ/ɲ ù/u m à/a		noun	MAIZE
4807	ToroTegu	corn, maize	tɔ̀rⁿíyⁿàrⁿà	tɔ̀rⁿíyⁿàrⁿà	t ɔ̀/ɔ r̃ í/i yⁿ/ỹ à/a r̃ à/a		noun	MAIZE
4808	YandaDom	corn, maize	sànàɛ̀mɛ̀	sànàɛ̀mɛ̀	s à/a n à/a ɛ̀/ɛ m ɛ̀/ɛ		noun	MAIZE
4809	YornoSo	corn, maize	sàrⁿàɛ̀mɛ́	sàrⁿàɛ̀mɛ́	s à/a r̃ à/a ɛ̀/ɛ m ɛ́/ɛ		noun	MAIZE
5776	BankanTey	corner (external, of house)	zɔ̀mbɔ́	zɔ̀mbɔ́	z ɔ̀/ɔ ⁿb ɔ́/ɔ		noun	CORNER
5777	BenTey	corner (external, of house)	cɛ́sí:, sìwâ:	cɛ́sí:	tʃ ɛ́/ɛ s í:/iː		noun	CORNER
5778	DogulDomBendiely	corner (external, of house)	pɛ́lɛ̀	pɛ́lɛ̀	p ɛ́/ɛ l ɛ̀/ɛ		noun	CORNER
5779	DogulDomKundialang	corner (external, of house)	pɛ́lɛ̀ŋ̀	pɛ́lɛ̀ŋ̀	p ɛ́/ɛ l ɛ̀/ɛ ŋ̀/ŋ		noun	CORNER
5780	DonnoSo	corner (external, of house)	yɔ́ŋgɛ̀rɛ̀	yɔ́ŋgɛ̀rɛ̀	j ɔ́/ɔ ŋ ɡ ɛ̀/ɛ r ɛ̀/ɛ		noun	CORNER
5781	JamsayDouentza	corner (external, of house)	sìwɛ́	sìwɛ́	s ì/i w ɛ́/ɛ		noun	CORNER
5782	Mombo	corner (external, of house)	kélè	kélè	k é/e l è/e		noun	CORNER
5783	Najamba	corner (external, of house)	dùrǎ:\\dùrɛ̌:	dùrǎ:	d ù/u r ǎ:/aː		noun	CORNER
5784	Nanga	corner (external, of house)	sìwâ	sìwâ	s ì/i w â/a		noun	CORNER
5785	Penange	corner (external, of house)	sɔ́gɔ́	sɔ́gɔ́	s ɔ́/ɔ ɡ ɔ́/ɔ		noun	CORNER
5786	PergeTegu	corner (external, of house)	ìrèsìwɛ́	ìrèsìwɛ́	ì/i r è/e s ì/i w ɛ́/ɛ		noun	CORNER
5787	TebulUre	corner (external, of house)	cérgó	cérgó	tʃ é/e r ɡ ó/o		noun	CORNER
5788	Tiranige	corner (external, of house)	cɛ̀:lɛ̀	cɛ̀:lɛ̀	tʃ ɛ̀:/ɛː l ɛ̀/ɛ		noun	CORNER
5789	TogoKan	corner (external, of house)	sìwɛ́ ~ sìyɛ́	sìwɛ́	s ì/i w ɛ́/ɛ		noun	CORNER
5790	TommoSoTongoTongo	corner (external, of house)	gìnɛ̀ sìbɛ́	gìnɛ̀_sìbɛ́	ɡ ì/i n ɛ̀/ɛ + s ì/i b ɛ́/ɛ		noun	CORNER
5791	ToroTegu	corner (external, of house)	síwá	síwá	s í/i w á/a		noun	CORNER
5792	YandaDom	corner (external, of house)	ʔə̀lòsìbà	ʔə̀lòsìbà	ʔ ə̀/ə l ò/o s ì/i b à/a		noun	CORNER
5793	YornoSo	corner (external, of house)	sìbɛ́	sìbɛ́	s ì/i b ɛ́/ɛ		noun	CORNER
5794	BankanTey	corner (internal)	bóŋgúrú	bóŋgúrú	b ó/o ŋ ɡ ú/u r ú/u		noun	CORNER
5795	BenTey	corner (internal)	gìgàlí	gìgàlí	ɡ ì/i ɡ à/a l í/i		noun	CORNER
5796	DogulDomBendiely	corner (internal)	bòmbó	bòmbó	b ò/o ⁿb ó/o		noun	CORNER
5797	DogulDomKundialang	corner (internal)	pɛ́lɛ̀ŋ̀	pɛ́lɛ̀ŋ̀	p ɛ́/ɛ l ɛ̀/ɛ ŋ̀/ŋ		noun	CORNER
5798	DonnoSo	corner (internal)	yɔ́ŋgɛ̀rɛ̀	yɔ́ŋgɛ̀rɛ̀	j ɔ́/ɔ ŋ ɡ ɛ̀/ɛ r ɛ̀/ɛ		noun	CORNER
5799	JamsayDouentza	corner (internal)	sìwɛ́, gìgǎn, lògòjó	sìwɛ́	s ì/i w ɛ́/ɛ		noun	CORNER
5800	Mombo	corner (internal)	bɔ́njɔ́	bɔ́njɔ́	b ɔ́/ɔ ⁿdʒ ɔ́/ɔ		noun	CORNER
5801	Najamba	corner (internal)	yó:bùndù\\yó:bùndè, ɛ̀njɛ̀ɛ̀njɛ̂:	yó:bùndù	j óː/oː b ù/u ⁿd ù/u		noun	CORNER
5802	Nanga	corner (internal)	lòlògí	lòlògí	l ò/o l ò/o ɡ í/i		noun	CORNER
5803	PergeTegu	corner (internal)	dùmdɔ́	dùmdɔ́	d ù/u m d ɔ́/ɔ		noun	CORNER
5804	TebulUre	corner (internal)	tógú	tógú	t ó/o ɡ ú/u		noun	CORNER
5805	Tiranige	corner (internal)	ɛ́:lɛ́	ɛ́:lɛ́	ɛ́:/ɛː l ɛ́/ɛ		noun	CORNER
5806	TogoKan	corner (internal)	bɔ̀ŋú, lòlògùjó	bɔ̀ŋú	b ɔ̀/ɔ ŋ ú/u		noun	CORNER
5807	TommoSoTongoTongo	corner (internal)	gìnɛ̀ sìbɛ́	gìnɛ̀_sìbɛ́	ɡ ì/i n ɛ̀/ɛ + s ì/i b ɛ́/ɛ		noun	CORNER
5808	ToroTegu	corner (internal)	pɛ̀tí→	pɛ̀tí→	p ɛ̀/ɛ t í/i		noun	CORNER
5809	YornoSo	corner (internal)	lògòjòý	lògòjòý	l ò/o ɡ ò/o dʒ ò/o j́/y		noun	CORNER
3451	Ampari	cotton	kùrá:ndè, àndásàrà kùrá:ndè	kùrá:ndè	k ù/u r á:/aː ⁿd è/e		noun	COTTON
3452	BankanTey	cotton	nàmú	nàmú	n à/a m ú/u		noun	COTTON
3453	BenTey	cotton	nà:mbú, nà:mú	nà:mbú	n à:/aː ⁿb ú/u		noun	COTTON
3454	Bunoge	cotton	kɔ́:ndè	kɔ́:ndè	k ɔ́ː/ɔː ⁿd è/e		noun	COTTON
3455	DogulDomBendiely	cotton	kɛ̀ɲɲɛ́	kɛ̀ɲɲɛ́	k ɛ̀/ɛ ɲ/ɲ ɲ/ɲ ɛ́/ɛ		noun	COTTON
3456	DogulDomKundialang	cotton	kɛ̀ɲɲɛ́	kɛ̀ɲɲɛ́	k ɛ̀/ɛ ɲ/ɲ ɲ/ɲ ɛ́/ɛ		noun	COTTON
3457	DonnoSo	cotton	kɛ̀mnɛ̌y	kɛ̀mnɛ̌y	k ɛ̀/ɛ m n ɛ̌/ɛ j		noun	COTTON
3458	Gourou	cotton	nà:mú	nà:mú	n à:/aː m ú/u		noun	COTTON
3459	JamsayDouentza	cotton	nǎ:m	nǎ:m	n ǎ:/aː m		noun	COTTON
3460	JamsayMondoro	cotton	nǎ:m	nǎ:m	n ǎ:/aː m		noun	COTTON
3461	Mombo	cotton	kɔ́:ndí	kɔ́:ndí	k ɔ́ː/ɔː ⁿd í/i		noun	COTTON
3462	Najamba	cotton	ságò\\sáyè	ságò	s á/a ɡ ò/o		noun	COTTON
3463	Nanga	cotton	nà:mbí	nà:mbí	n à:/aː ⁿb í/i		noun	COTTON
3464	Penange	cotton	kɔ́:ndè	kɔ́:ndè	k ɔ́ː/ɔː ⁿd è/e		noun	COTTON
3465	PergeTegu	cotton	nà:mbú	nà:mbú	n à:/aː ⁿb ú/u		noun	COTTON
3466	TebulUre	cotton	cɛ̀mdɛ́	cɛ̀mdɛ́	tʃ ɛ̀/ɛ m d ɛ́/ɛ		noun	COTTON
3467	Tiranige	cotton	kɔ̀:ní	kɔ̀:ní	k ɔ̀:/ɔː n í/i		noun	COTTON
3468	TogoKan	cotton	kɔ́nú	kɔ́nú	k ɔ́/ɔ n ú/u		noun	COTTON
3469	TommoSoTongoTongo	cotton	kɛ̀ɲɲɛ́	kɛ̀ɲɲɛ́	k ɛ̀/ɛ ɲ/ɲ ɲ/ɲ ɛ́/ɛ		noun	COTTON
3470	TomoKanSegue	cotton	kùní	kùní	k ù/u n í/i		noun	COTTON
3471	ToroTegu	cotton	nǎm	nǎm	n ǎ/a m		noun	COTTON
3472	YandaDom	cotton	cèɲè, cɛ̀ɲɛ̀ (archaic)	cèɲè	tʃ è/e ɲ/ɲ è/e		noun	COTTON
