ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
15961	Najamba-3501_dirty-1	Najamba		dirty	nì:ndìgá:\\nì:ndìgɛ́:	nì.ìndìɡá.á	n ì ì nd ì ɡ á á	n ì ì nd ì - ɡ ɛ́ ɛ́		1	4 7 7 4 7 1 7 7	AXYBYBYZ	NIINIKAA	5	5.N.C 5.I.V 5.I.V 5.N.C 5.I.V 5.K.C 5.A.V 5.A.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 0.8	nììndìɡáá	0	2273
15962	Nanga-3501_dirty-1	Nanga		dirty	lìsìgìrⁿɛ́	lìsìɡìr.∼ɛ́	l ì s ì ɡ ì r <<∼>> ɛ́			1	5 7 3 7 1 7 5 0 7	AXBYBYMBZ	LISIKIR0E	6	6.L.C 6.I.V 6.S.C 6.I.V 6.K.C 6.I.V 6.R.c 6.0.C 6.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	lìsìɡìr<<∼>>ɛ́	0	2274
15964	PergeTegu-3501_dirty-1	PergeTegu		dirty	lɔ̀gɔ̀gú	lɔ̀ɡɔ̀ɡ-ú	l ɔ̀ ɡ ɔ̀ ɡ - ú			1	5 7 1 7 1 0 7	AXBYMBZ	LUKUK0Y	7	7.L.C 7.U.V 7.K.C 7.U.V 7.K.c 7.0.C 7.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	lɔ̀ɡɔ̀ɡ-ú	0	2270
15966	TogoKan-3501_dirty-1	TogoKan		dirty	gɛ̀mɛ̀ɲú	ɡɛ̀mɛ̀ɲ-ú	ɡ ɛ̀ m ɛ̀ ɲ - ú			1	1 7 4 7 4 0 7	AXBYMBZ	KEMEN0Y	8	8.K.C 8.E.V 8.M.C 8.E.V 8.N.c 8.0.C 8.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	ɡɛ̀mɛ̀ɲ-ú	0	2275
15967	TommoSoTongoTongo-3501_dirty-1	TommoSoTongoTongo		dirty	nɛ́mɛ́	nɛ́m-ɛ́	n ɛ́ m - ɛ́			1	4 7 4 0 7	AXMBZ	NEM0E	9	9.N.C 9.E.V 9.M.c 9.0.C 9.E.V	2.0 1.5 1.1 1.75 0.8	nɛ́m-ɛ́	0	2272
15968	ToroTegu-3501_dirty-1	ToroTegu		dirty	dɔ̀:lú	dɔ̀.ɔ̀l-ú	d ɔ̀ ɔ̀ l - ú			1	1 7 7 5 0 7	AXYMBZ	TUUL0Y	10	10.T.C 10.U.V 10.U.V 10.L.c 10.0.C 10.Y.V	2.0 1.5 1.3 1.1 1.75 0.8	dɔ̀ɔ̀l-ú	0	2276
15969	YandaDom-3501_dirty-1	YandaDom		dirty	nìmdè	nìmd-è	n ì m d - è			1	4 7 4 1 0 7	AXLMBZ	NIMT0E	11	11.N.C 11.I.V 11.M.c 11.T.c 11.0.C 11.E.V	2.0 1.5 1.1 1.1 1.75 0.8	nìmd-è	0	2272
15970	YornoSo-3501_dirty-1	YornoSo		dirty	lɔ̀gɔ̀gú	lɔ̀ɡɔ̀ɡ-ú	l ɔ̀ ɡ ɔ̀ ɡ - ú			1	5 7 1 7 1 0 7	AXBYMBZ	LUKUK0Y	12	12.L.C 12.U.V 12.K.C 12.U.V 12.K.c 12.0.C 12.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	lɔ̀ɡɔ̀ɡ-ú	0	2270
7458	JamsayDouentza-3536_distantremotekinship-1	JamsayDouentza		distant, remote (kinship)	wàɣá	wàɣ-á	w à ɣ - á			1	6 7 3 0 7	AXMBZ	WAG0A	3	3.W.C 3.A.V 3.G.c 3.0.C 3.A.V	2.0 1.5 1.1 1.75 0.8	wàɣ-á	0	2282
7459	Nanga-3536_distantremotekinship-1	Nanga		distant, remote (kinship)	wàgá	wàɡ-á	w à ɡ - á			1	6 7 1 0 7	AXMBZ	WAK0A	6	6.W.C 6.A.V 6.K.c 6.0.C 6.A.V	2.0 1.5 1.1 1.75 0.8	wàɡ-á	0	2282
