ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
DogulDomKundialang-2771_camel-1,,DogulDomKundialang,2771_camel,yɔ́ŋmɛ̀,yɔ́ŋ-mɛ̀,j ɔ́ ŋ + m ɛ̀,,heathdogon,,,,,j ɔ́ ŋ + m ɛ̀,,,,
DonnoSo-2771_camel-1,,DonnoSo,2771_camel,ɔ̀ŋɔ̀yòŋó,ɔ̀ŋɔ̀_yòŋó,ɔ̀ ŋ ɔ̀ + j ò ŋ ó,,heathdogon,,,,,ɔ̀ ŋ ɔ̀ + j ò ŋ ó,,,,
Gourou-2771_camel-1,,Gourou,2771_camel,ɔ̀ɣɔ̀yⁿùwⁿó,ɔ̀ɣɔ̀_yⁿùwⁿó,ɔ̀ ɣ ɔ̀ + y ∼ ù w ə ∼ ó,,heathdogon,,,,,ɔ̀ ɣ ɔ̀ + y ∼ ù w.ə ∼ ó,,,,
JamsayDouentza-2771_camel-1,,JamsayDouentza,2771_camel,ɔ̀ɣɔ̀ɲùŋó,ɔ̀ɣɔ̀_ɲùŋó,ɔ̀ ɣ ɔ̀ + ɲ ù ŋ ó,,heathdogon,,,,,ɔ̀ ɣ ɔ̀ + ɲ ù ŋ ó,,,,
Mombo-2771_camel-1,,Mombo,2771_camel,ɲɔ̀ŋɔ̀mɛ́,ɲɔ̀ŋɔ̀-mɛ́,ɲ ɔ̀ ŋ ɔ̀ + m ɛ́,,heathdogon,,,,,ɲ ɔ̀ ŋ ɔ̀ + m ɛ́,,,,
Najamba-2771_camel-1,,Najamba,2771_camel,ɲ̀ɔ̀ŋɔ̀mɛ́\\ɲɔ̀ŋɔ̌:mbó,ɲ̀ɔ̀ŋɔ̀-mɛ́,ɲ ə̀ ɔ̀ ŋ ɔ̀ + m ɛ́,,heathdogon,,,,,ɲ.ə̀ ɔ̀ ŋ ɔ̀ + m ɛ́,ɲ ɔ̀ ŋ ɔ̌ː + ⁿb ó,ɲ ɔ̀ ŋ ɔ̌ː + ⁿb ó,ɲɔ̀ŋɔ̌:-mbó,
Nanga-2771_camel-1,,Nanga,2771_camel,ɔ̀gɔ̀ɲɔ̀ŋɔ̂,ɔ̀gɔ̀_ɲɔ̀ŋɔ̂,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̂,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̂,,,,
Penange-2771_camel-1,,Penange,2771_camel,ɲɔ́:mɔ̀yⁿ,ɲɔ́:_mɔ̀yⁿ,ɲ ɔ́ː + m ɔ̀ y ∼,,heathdogon,,,,,ɲ ɔ́ː + m ɔ̀ y ∼,,,,
PergeTegu-2771_camel-1,,PergeTegu,2771_camel,ɔ̀gɔ̀ɲùwⁿó,ɔ̀gɔ̀_ɲùwⁿó,ɔ̀ ɡ ɔ̀ + ɲ ù w ə ∼ ó,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + ɲ ù w.ə ∼ ó,,,,
TebulUre-2771_camel-1,,TebulUre,2771_camel,ɔ̀gɔ̀ɲɔ̀ŋɔ́\\ɔ̀gɔ̀ɲɔ̀ŋɔ̀mbɔ́,ɔ̀gɔ̀_ɲɔ̀ŋɔ́,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ́,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ́,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀ + ⁿb ɔ́,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀ + ⁿb ɔ́,ɔ̀gɔ̀_ɲɔ̀ŋɔ̀-mbɔ́,
Tiranige-2771_camel-1,,Tiranige,2771_camel,njèlèbà,njèlèbà,ⁿdʒ è l è b à,,heathdogon,,,,,ⁿdʒ è l è b à,,,,
TogoKan-2771_camel-1,,TogoKan,2771_camel,ɔ̀gɔ̀ɲɔ̌,ɔ̀gɔ̀_ɲɔ̌,ɔ̀ ɡ ɔ̀ + ɲ ɔ̌,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + ɲ ɔ̌,,,,
