Grapheme	IPA
òⁿ	õ̀/õ
o᷈	o᷈/o
ôⁿ	õ̂/õ
o:	oː
ó:	óː/oː
óó	óː/oː
ò:	òː/oː
òò	òː/oː
ô:	ôː/oː
óò	ôː/oː
ǒ:	ǒː/oː
òó	ǒː/oː
ó:ⁿ	ṍː/õː
óóⁿ	ṍː/õː
ò:ⁿ	õ̀ː/õː
òòⁿ	õ̀ː/õː
o᷈:	o᷈ː/oː
o᷈::	o᷈ː/oː
ô:ⁿ	õ̂ː/õː
óòⁿ	õ̂ː/õː
ǒ:ⁿ	õ̌ː/õː
òóⁿ	õ̌ː/õː
p	p
pʷ	pʷ
q	q
r	r
r̀	r
rᵃ	r
rᵘ̀	r
r̃	r̃
rⁿ	r̃
rⁿ̀	r̃
s	s
sⁿ	s
š	ʃ
ʃ	ʃ
t	t
c	tʃ
ć	tʃ
tʷ	tʷ
u	u/u
ú	ú/u
ù	ù/u
û	û/u
ǔ	ǔ/u
ũ	ũ
úⁿ	ṹ/ũ
ùⁿ	ũ̀/ũ
ûⁿ	ũ̂/ũ
ǔⁿ	ũ̌/ũ
ú:	úː/uː
úú	úː/uː
ù:	ùː/uː
ùù	ùː/uː
û:	ûː/uː
úù	ûː/uː
ǔ:	ǔː/uː
ùú	ǔː/uː
uⁿ	ũː/ũ
ú:ⁿ	ṹː/ũː
úúⁿ	ṹː/ũː
ù:ⁿ	ũ̀ː/ũː
ùùⁿ	ũ̀ː/ũː
u᷈:	u᷈ː/uː
û:ⁿ	ũ̂ː/ũː
úùⁿ	ũ̂ː/ũː
ǔ:ⁿ	ũ̌ː/ũː
ùúⁿ	ũ̌ː/ũː
v	v
v́	v́/v
v̀	v̀/v
ʋ	ʋ
w	w
wᵃ	w
ẃ	ẃ/w
ẁ	ẁ/w
w̃	w̃
wⁿ	w̃
wⁿ́	w̃́/w̃
ẃⁿ	w̃́/w̃
ẁⁿ	w̃̀/w̃
x	x
z	z
ž	z
ʒ	ʒ
ʔ	ʔ
ʔⁿ	ʔ
_	+
{	NULL
'	NULL
}	NULL
`	NULL
1	NULL
3	NULL
21	NULL
752	NULL
764	NULL
3247	NULL
4378	NULL
4496	NULL
4511	NULL
˧	NULL
A	NULL
+	NULL
E	NULL
R	NULL
P	NULL
N	NULL
ň	ň/n
å	a
U	NULL
ɖ	ɗ
ɪ	ɪ
ᵘ	NULL
Â	NULL
J	NULL
ø	NULL
ő	o
@	NULL
̐	NULL
᷄	NULL
<	NULL
̪	NULL
4	NULL
7	NULL
9	NULL
0	NULL
I	NULL
_X_$	NULL
_X$	NULL
_$	NULL
__$	NULL
_...$	NULL
-̀$	NULL
^_	NULL
^__	NULL
^_...	NULL
^..._	NULL
^-_	NULL
^ḿ:	ḿ:/m̩ː
__	+
_..._	+
...	NULL
_X_	+
j́	dʒ
nj́	ⁿdʒ
nj	ⁿdʒ
^nj	ⁿdʒ
_=_	+
^X__	NULL
^X_	NULL
^X-	NULL
^-	NULL
-ⁿ_	+
-_$	NULL
ɪ̌	ɪ̌/ɪ
^ň:	ň:/n̩ː
^_k	k
-_xxx$	NULL
àⁿ	àⁿ/ã
á́	á́/a
ý:	ý:/yː
_$	NULL
-$	NULL
-́_$	NULL
]	NULL
-$	NULL
:	ː
nd	ⁿd
^nd	ⁿd
mb	ⁿb
^mb	ⁿb
ng	ⁿg
^ng	ⁿg
ɔ́́_	ɔ +
ɔ̊	ɔ
a`:	à:/aː
^́_k	k
^̌t	t
ê:ⁿ	ê:ⁿ/ẽː
́:́	ː
 ̀_	NULL
_:$	NULL
g-́_ ɡ
ɔ̌:-́	ɔ:/ɔ:
^:_	NULL
á́́́	á/a
PRON	NULL
̌_#_	+
^nɔ̌:	n ɔ̌:/ɔː
)	NULL
